Row Labels;Sum of shape_Area;Aire Communes;Pourcentage
Aire-la-Ville;1435900.096;2926558.072;49.0644662
Anieres;29826.63401;8771934.238;0.340023457
Avully;781753.2413;4618315.493;16.9272377
Avusy;2330405.558;5172039.123;45.05777127
Bardonnex;0;4996992.366;0
Bellevue;271323.4801;6346845.551;4.274934342
Bernex;3117429.966;12953950.17;24.06547752
Celigny;66954.9854;8585779.988;0.779835792
Carouge;6098.96415;2696676.48;0.226165956
Cartigny;2584152.476;4383514.523;58.95161206
Chene-Bougeries;0;4140284.003;0
Chene-Bourg;0;1280780.042;0
Chancy;1322631.202;5380929.144;24.57997804
Choulex;782814.5012;3908895.679;20.02648741
Collex-Bossy;295528.0949;6886824.505;4.291209899
Collonge-Bellerive;614118.7707;10692769.25;5.743308925
Cologny;39079.94992;7432158.661;0.525822331
Confignon;37520.31839;2772010.869;1.353541532
Corsier;0;4292783.497;0
Dardagny;3258666.933;8598354.135;37.89872901
Geneve-Cite;502636.9793;3039907.213;16.53461583
Geneve-Eaux-Vives;13884.99486;3098503.332;0.44811941
Geneve-Petit-Saconnex;203591.7238;7535128.88;2.701901016
Geneve-Plainpalais;233609.5731;4622754.745;5.053471058
Genthod;0;5300330.426;0
Grand-Saconnex;0;4382041.893;0
Gy;757112.7108;3286264.736;23.03870113
Hermance;266708.8;4905640.254;5.43677861
Jussy;2465744.965;11350187.67;21.72426604
Laconnex;1201325.023;3831199.088;31.35637161
Lancy;266616.4914;4775290.795;5.583251426
Meinier;620523.1216;6953479.849;8.923922052
Meyrin;585083.9091;9937363.738;5.887717553
Onex;382663.9963;2812918.91;13.60380475
Perly-Certoux;0;2536601.563;0
Plan-les-Ouates;422176.7836;5853824.053;7.211982796
Pregny-Chambesy;0;6269094.967;0
Presinge;590922.443;4707511.305;12.55275675
Puplinge;0;2672152.129;0
Russin;2576331.03;4909733.555;52.47394795
Satigny;5626861.134;18921139.98;29.73848901
Soral;593491.6808;2942051.222;20.17271747
Thonex;0;3820215.218;0
Troinex;0;3429907.726;0
Vandoeuvres;0;4419835.215;0
Vernier;1421131.414;7687283.443;18.48678307
Versoix;2384787.132;15149879.49;15.7412944
Veyrier;8061.57715;6496672.467;0.124087788
Grand Total;38097470.65;282485309.7;13.48653163
